Factor_1;Factor_2;Factor_3;Factor_4;Factor_5;Factor_6;Factor_7;Factor_8;Factor_9;Factor_10;Factor_11;Factor_12;Factor_13;Factor_14;Factor_15;Factor_16;Factor_17;Factor_18;Factor_19;Factor_20;Factor_21;Factor_22;Factor_23;Factor_24;Factor_25;Factor_26;Factor_27;Factor_28;Factor_29;Factor_30;Factor_31;Factor_32;Factor_33;Factor_34;Factor_35;Factor_36;Factor_37;Factor_38;Factor_39;Factor_40;Factor_41;Factor_42;Factor_43;Factor_44;Factor_45;Factor_46;Factor_47;Factor_48;Factor_49;Factor_50;Factor_51;Factor_52;Factor_53;Factor_54;Factor_55;Factor_56;Factor_57;Factor_58;Factor_59;Factor_60;Factor_61;Factor_62;Factor_63;Factor_64;Factor_65;Factor_66;Factor_67;Factor_68;Factor_69;Factor_70;Factor_71;Factor_72;Factor_73;Factor_74;Factor_75;STATUS
0.92437;0.452722;0.97479;292861;9;1.25;1894.25;262690;14200;9;0.473684;148;2;10;117;158;1;0.9;190;0.907563;0.210526;0.444444;0.444444;0.473684;4;0.526316;2711.675926;2;0.4;56;0.9;560825;2;0.95;2.4;19;3003.111111;108;24;110;15000;24;4.555556;0.4;4712.815126;4.666667;25;1.327731;24;2;157386;0.4;522940;0;97;0.051685;0.75;0.25;2;0.45;0.07563;1;15000;0.016807;17343.08333;0;0.008403;0.092437;2;0.005731;0;2;0;0;0;0
0;0.076923;1;0;0;0;0;0;0;0;0;0;970;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19250;970;0;3;0;0;0;3;0;0;0;3;0;19250;0;0;3;0;0;0;0;19250;0;0;0;0;0.090909;0;0;1;0;15000;0;0;0;1;0;1142;0;0;0;0;0;0;1
0.8;0.8125;0.8;271763;3;2.666667;2972;343500;232625;3;0.75;39;22;4;39;39;1;0.75;47;0.8;0.5;0.666667;0.666667;0.75;2;1;67940.75;22;0.5;32;0.75;271763;22;0.666667;7.8;4;2972;4;24;4;237000;24;0;0.8;54352.6;10.666667;8;7.8;24;4;232625;0.8;262847;0;0;0;0;0.333333;2;0.333333;0;0;237000;0.2;102333.3333;1;0;0;13;0;0;0;0;0;0;0
0;0.090909;1;0;0;0;0;0;0;0;0;0;1740;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3885;0;0;0;0;0;0;1;0;0;0;1;0;3885;0;0;1;0;0;0;0;3885;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2052;0;0;0;0;0;0;0
0.611111;0.748031;0.777778;87724;10;2.583333;16889.66667;101209;48400;10;0.833333;84;14;10;20;95;1;1;26;0.277778;0.5;0.6;0.6;0.833333;6;0.833333;17544.8;25;0.6;76;1;649815;14;0.416667;4.666667;12;6898.666667;5;18;11;52209;18;9.375;0.5;36100.83333;9.5;31;5.277778;18;10;140983;0.25;447139;0;4;0.087865;0.5;0.148148;4;0.583333;0.277778;0.632779;593389;0.055556;52798;0;0;0;9;0;1;6;4;0;1;1
0.888889;0.868571;1;248599;4;3;3160;214722;100030;4;0.666667;112;33;4;105;152;1;1;117;0.777778;0;0;0;0.666667;0;0.666667;35514.14286;33;0;53;1;464041;33;1;22.25;6;3160;7;40;8;125500;13;23.5;0.75;51560.11111;8.833333;3;16.888889;35;3;77455;0.75;460881;3160;5;0;0.666667;0.25;1;0;0.222222;0;125500;0;45487;2;0;0;95;0.057143;0;0;0;0;0;0
0.222222;0.272912;0.722222;38052;2;0.25;12295.25;32660;19921;4;0.4;18;32;4;17;134;0.5;0.5;19;0.166667;0;0;0;0.8;0;0.8;12684;557;0;40;1;724183;557;0.25;8.9;5;12295.25;3;34;4;16560;27;9.75;0;40232.38889;10;1;7.444444;9;1;114259;0;675002;7865;3;0.054898;0.25;0;0;0.75;0.666667;0.753462;180346;0;126226.5;0;0.5;0.611111;48;0;0;0;0;0;0;0
0.4;0.080357;0.6;0;0;0;0;0;0;0;0;16;1664;0;0;18;0;0;0;0;0;0;0;0;0;0;0;1664;0;11;0;48963;2050;0;0;0;0;0;9;2;0;9;3.6;0;9792.6;2.75;0;3.6;9;0;9033;0;48963;0;1;0;0;0;0;0;1;0;30000;0;29526;0;0;0.6;1953;0.03125;0;0;0;0;0;0
0;0.084906;1;0;0;0;0;0;0;0;0;0;2273;0;0;9;0;0;0;0;0;0;0;0;0;0;0;2273;0;9;0;27491;2273;0;7;0;0;0;7;0;0;7;4.5;0;13745.5;4.5;0;4.5;0;0;17450;0;27491;0;0;0;0;0;0;0;1;0;12525;0;17308;0;1;1.5;2768;0;0;0;0;0;0;1
0.833333;0.189189;0.833333;32397;1;3.333333;9023;57998;11994;2;0.25;14;31;3;14;14;0.5;0.333333;28;0.833333;0;0;0;0.5;0;0.75;6479.4;31;0;12;0.666667;34138;31;1;1.5;4;7953;5;6;5;39999;6;0;0.5;5689.666667;3;10;2.333333;6;6;11994;0.5;7069;3912;2;0;0.5;0;1;0;0.166667;0;39999;0;14957.5;1;0.166667;0.166667;93;0.013514;0;0;0;0;0;0
0;0.558824;0.666667;0;2;0.5;39736;0;0;2;1;0;8;2;0;19;1;1;0;0;1;1;1;1;2;1;0;8;1;19;1;169222;8;0;6.333333;2;0;0;18;0;0;18;9.5;0;56407.33333;9.5;1;6.333333;0;0;89750;0;89750;0;0;0;0;0.9;0;0.5;0.333333;0;149285;0.333333;117493.5;0;0;0;19;0;0;0;10;0;0;0
0.705882;0.587629;0.764706;481790;11;1.272727;13916.75758;499581;125380;12;0.423077;57;3;20;54;57;0.916667;0.55;70;0.676471;0.346154;0.818182;0.75;0.461538;9;0.769231;20947.3913;24;0.45;7;0.6;584633;3;0.69697;2;26;14037.04167;23;15;24;191781;7;3;0.466667;17195.08824;7;42;1.676471;15;7;33726;0.4;125380;0;0;0.731616;0;0.266667;6;0.393939;0;0.272286;191781;0.176471;191781;1;0;0;9;0.010309;1;0;1;0;1;1
0.4;0.2;0.8;1370;1;1;1370;15000;1370;1;0.5;5;20;1;1;19;1;1;2;0.2;0.5;1;1;0.5;1;0.5;1370;244;1;14;1;111870;20;1;5.5;2;1370;1;10;2;15000;10;4.5;0.5;22374;4.666667;1;3.8;4;1;39490;0.5;110500;1370;2;0.012398;0.666667;0.777778;1;1;0.8;1;32600;0;29153.66667;1;0.4;1.4;41;0.042105;0;0;0;0;0;0
0.692308;0.792453;0.846154;276939;6;1.833333;9544.166667;373100;166514;6;1;83;5;6;40;126;1;1;45;0.461538;0.833333;0.833333;0.833333;1;5;1;46156.5;12;0.833333;80;1;796311;12;0.5;13.2;6;5824;6;43;9;159600;18;14.333333;0.4;61254.69231;10;11;9.692308;18;8;189056;0.2;739046;0;5;0.039402;0.625;0.277778;1;0.833333;0.307692;1;331360;0.076923;107056.125;0;0;0.076923;5;0;2;4;1;1;2;0
0.6;0.232558;0.9;0;0;0;0;0;0;0;0;22;478;0;0;30;0;0;0;0;0;0;0;0;0;0;0;478;0;17;0;155159;478;0;2;0;0;0;9;6;0;5;3;0;15515.9;3.4;0;3;9;0;52617;0;155159;0;6;0;0.6;1;0;0;1;0;15000;0;24710.4;0;0.1;1;528;0.007752;0;0;0;0;0;1
0.775862;0.147273;0.862069;381966;14;1.206897;8416.62069;612000;64073;15;0.56;75;2;23;61;81;0.933333;0.608696;301;0.706897;0.24;0.428571;0.4;0.6;6;0.92;9316.243902;802;0.26087;4;0.652174;642007;12;0.758621;0.933333;25;7965.038462;41;11;45;150000;3;1.818182;0.466667;11069.08621;1.333333;35;1.396552;11;4;7688;0.4;397925;0;22;0.454317;0.666667;0.394737;4;0.689655;0.137931;0.872969;150000;0.068966;70225;0;0.051724;0.103448;1;0.001818;1;2;0;3;1;0
0.846154;0.717949;0.769231;322931;5;3.666667;22678.5;798648;78885;5;0.833333;84;19;5;79;84;1;1;102;0.769231;0.833333;1;1;0.833333;5;0.833333;32293.1;19;1;56;1;355840;19;0.666667;6.75;6;0;10;16;11;300000;16;5;0.75;27372.30769;7;22;6.461538;16;8;78885;0.75;219769;0;5;0;0.5;0.6;4;0.166667;0.076923;0;300000;0.076923;88812.25;3;0;0;18;0.094017;0;0;0;0;0;0
0.428571;0.175439;1;12480;0;0;2500;9000;4500;0;0;3;265;0;3;10;0;0;5;0.428571;0;0;0;0;0;0;4160;0;0;0;0;144304;265;0;1.75;3;0;3;3;3;3000;0;1.75;0;20614.85714;0;0;1.428571;1;0;0;0;141804;0;3;0;0;1;0;0;0.428571;0;600000;0;0;0;0.285714;0.142857;345;0.017544;0;0;1;0;0;1
0.166667;0.118421;0.333333;0;0;0;0;0;0;0;0;18;700;0;0;18;0;0;0;0;0;0;0;0;0;0;0;4361;0;0;0;55026;700;0;0;0;0;0;18;1;0;0;4.5;0;9171;0;0;3;18;0;0;0;55026;0;2;0;0.333333;0;0;1;0.666667;0;32485;0;15578;0;0.166667;0.333333;30;0.118421;0;0;0;0;0;0
0.363636;0.430868;1;1037273;1;1;4366.666667;781389;581315;1;0.142857;67;43;1;54;134;1;1;57;0.272727;0;0;0;0.142857;0;0.142857;345757.6667;201;0;38;1;3374182;201;0;4.6;7;0;3;47;4;450000;17;10;0.2;306743.8182;4.75;3;12.181818;36;0;581315;0;3361082;0;6;0;0.5;0.625;0;0;0.454545;0;319270;0;242578;0;0.454545;1.454545;287;0.009646;0;0;5;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;26172;0.5;26172;0;0;0;5;0;0;0;0;0;0;1
0.6;0.538835;0.8;434040;0;0;0;320500;312501;0;0;73;98;1;37;111;0;0;39;0.4;0;0;0;0;0;1;217020;871;0;73;0;795542;871;0;19;1;0;2;36;3;218000;36;24.666667;0;159108.4;24.333333;0;22.2;36;0;312501;0;795542;0;3;0;0.666667;0.428571;0;0;0.6;0;245500;0;188666.6667;0;0.4;1.2;1125;0.174757;0;0;0;0;0;0
0.827586;0.745562;0.827586;311180;9;1.4;9570.4;270056;86850;12;0.391304;125;3;18;58;126;0.75;0.5;80;0.724138;0.217391;0.555556;0.416667;0.521739;5;0.782609;14818.09524;50;0.277778;14;0.666667;875498;14;0.8;8.555556;23;8864;21;45;24;85000;12;17;0.555556;30189.58621;7;35;4.344828;45;9;29839;0.222222;636238;0;2;0.104249;0.5;0.15;3;0.4;0.068966;0.440161;244444;0.068966;134277.5;2;0;0;1;0.005917;2;0;4;0;2;0
0.9;0.138655;0.8;85962;2;3;24613;134999;71358;2;0.5;33;5;3;8;33;1;0.666667;34;0.4;0.5;1;1;0.5;2;0.75;21490.5;5;0.666667;32;0.666667;261197;5;1;3.666667;4;40026;4;11;9;70000;11;5;0.833333;26119.7;4;6;3.3;11;4;71358;0.5;211971;40026;4;0;0.375;0;2;0;0.4;0;188185;0;54148;1;0;0.2;158;0.021008;1;0;1;0;1;0
1;0.705882;1;348930;2;10;165014;298684;271346;3;0.666667;252;25;3;40;252;0.666667;0.666667;55;0.416667;0.333333;0.5;0.333333;1;1;1;69786;25;0.333333;182;1;2933730;32;1;54;3;0;5;56;12;229619;56;30.285714;1;244477.5;20.222222;20;21;56;10;671341;0;2603702;0;9;0;1;0;0;0;0.5;0;51800;0;138378.5556;1;0;0.166667;328;0.028011;0;0;0;1;0;0
1;0.5;0;0;0;1;0;7694;0;0;0;1;0;0;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;1;7694;1;0;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;7694;0;7694;0;0;0;24;0;0;0;0;0;0;0
0.6;0.141566;0.7;111804;1;2;5530;94075;97729;1;0.5;41;31;1;27;47;1;1;83;0.3;0;0;0;0.5;0;0.5;37268;31;0;46;1;410301;31;1;1;2;5530;3;22;6;80000;22;4;0.5;41030.1;5.75;2;4.7;22;2;197368;0;404771;5530;7;0;0.75;0;1;0;0.4;0;10000;0;40089.625;1;0.1;0.4;125;0.006024;1;0;1;0;1;0
0.5;0.02;1;7840;1;1;7840;7000;7840;1;1;1;27;1;1;1;1;1;2;0.5;1;1;1;1;1;1;7840;1002;1;0;1;34663;1002;1;0;1;7840;1;1;1;7000;0;0;0;17331.5;0;1;0.5;1;1;26823;0;26823;7840;0;0.292286;0;0;0;1;0.5;1;33960;0;33960;0;0;0;33;0.02;0;0;0;0;0;0
0.466667;0.653409;0.733333;974588;4;2.714286;37394.85714;989640;627514;5;0.666667;82;6;5;58;115;0.8;0.8;70;0.4;0.333333;0.5;0.4;0.833333;2;0.833333;162431.3333;33;0.4;63;1;2295686;6;0;4.125;6;0;6;25;7;595565;25;7.125;0;153045.7333;12.6;19;7.666667;25;0;737658;0;2033922;0;7;0;0.6;0.380952;0;0.428571;0.133333;0;1174725;0.066667;416143.4;2;0;0;8;0.073864;2;4;10;0;2;1
0.75;0.883721;0.75;310704;1;3.5;85349.5;259065;170699;1;0.5;38;28;1;38;38;1;1;42;0.75;0.5;1;1;0.5;1;0.5;103568;28;1;38;1;310704;0;0.5;0;2;0;3;16;3;149083;16;0;0;77676;9.5;7;9.5;16;7;170699;0;140005;0;2;0;0.75;0;0;0.5;0;0;199268;0;114583.25;0;0;0;29;0.162791;0;0;0;0;0;0
0.4;0.045455;0.4;3716;1;0.333333;478.333333;3196;2281;1;1;2;7;1;2;2;1;1;4;0.4;1;1;1;1;1;1;1858;7;1;2;1;3716;0;0.333333;0;1;478.333333;2;1;2;2196;1;0;0;743.2;0.5;1;0.4;1;1;2281;0;2281;0;1;0.62911;0.5;0.25;0;1;0.2;1;1000;0.2;1299;0;0;0;6;0.022727;0;0;0;0;0;0
0.541667;0.458531;0.958333;289537;1;1;6000;167402;79213;1;1;217;58;1;160;387;1;1;183;0.416667;0;0;0;1;0;1;28953.7;949;0;141;1;1451354;58;0.5;11.9;1;12000;10;37;13;55000;37;16.214286;0.2;60473.08333;15.666667;2;16.125;36;2;196148;0.2;1439354;12000;10;0.008337;0.444444;1;1;0.5;0.541667;1;300000;0;86922.44444;0;0.333333;0.5;88;0.017773;0;0;0;0;0;0
0;0.4;0.25;0;1;1;22525;0;0;1;1;0;6;1;0;4;1;1;0;0;1;1;1;1;1;1;0;0;1;0;1;90100;6;0;1.333333;1;22525;0;4;0;0;0;4;0;22525;0;4;1;0;0;0;0;0;0;0;0;0;0.238095;0;0.5;0;0;32000;0.25;0;0;0;0;10;0;1;6;1;0;1;0
0;0.117773;0.8;0;0;0;0;0;0;0;0;0;254;0;0;55;0;0;0;0;0;0;0;0;0;0;0;254;0;40;0;313324;254;0;6.571429;1;0;0;14;0;0;14;6.111111;0;31332.4;8;0;5.5;0;0;111447;0;313324;0;0;0;0;0.666667;0;1;0.9;0;125081;0.1;93383.2;0;0.7;0.8;14;0;0;0;0;0;0;0
0.625;0.101626;0.625;8000;0;1.666667;7098.333333;12000;8000;0;0;24;183;0;3;25;0;0;4;0.25;0;0;0;0;0;0;4000;1211;0;4;0;82049;0;1;4.25;2;0;2;16;5;7000;3;4.4;0.5;10256.125;1.333333;5;3.125;16;2;52099;0.25;60754;0;1;0;0.333333;0.777778;1;0;0.5;0;74700;0;38081.33333;0;0.125;0.25;183;0.00813;0;0;0;1;0;0
1;0.793651;1;105990;1;8;7200;67909;98790;1;0.5;50;19;2;40;50;1;0.5;49;0.666667;0.5;1;1;0.5;1;1;52995;19;0.5;50;0.5;127319;19;1;8;2;0;2;32;3;60000;32;10;1;42439.66667;16.666667;8;16.666667;32;8;98790;1;120119;0;2;0;0.666667;0;1;0;0.333333;0;7909;0;27636.33333;0;0;0;263;0.507937;0;0;0;0;0;0
0.333333;0.27673;1;57987;0;0;0;51500;57987;0;0;13;118;2;7;44;0;0;8;0.166667;0;0;0;0;0;1;57987;1108;0;22;0;427724;118;0;9;2;0;1;17;2;51500;7;7.4;0;71287.33333;5.5;0;7.333333;7;0;57987;0;427724;0;3;0;0.75;0.4;0;0;0.833333;0;161000;0;61841;0;0.5;0.666667;1230;0.044025;0;0;0;0;0;0
0.636364;0.432203;0.909091;347274;3;0.75;6957.5;238792;297214;4;0.428571;14;13;7;14;51;0.75;0.428571;20;0.636364;0.285714;0.666667;0.5;0.571429;2;1;49610.57143;843;0.285714;26;0.571429;611602;793;0.75;12.333333;7;6957.5;7;19;7;197792;18;18.5;0;55600.18182;13;6;4.636364;8;1;297214;0;555942;0;1;0.06918;0.5;0.4;0;0.625;0.181818;0.690981;184778;0.181818;191285;0;0.181818;0.181818;5;0.008475;0;0;0;0;0;0
0.904762;0.815857;0.904762;1070275;6;4;45600;1186354;208613;7;0.666667;308;7;8;194;319;0.857143;0.75;235;0.666667;0.444444;0.666667;0.571429;0.777778;4;0.888889;76448.21429;7;0.5;166;0.875;1365533;7;1;20.5;9;45600;14;56;19;440425;35;20.833333;0.75;65025.38095;13.833333;4;15.190476;56;4;208613;0.375;1319933;45600;13;0;0.75;0.25;1;0;0.285714;0;440425;0;74726.16667;5;0;0;131;0.033248;0;0;0;0;0;0
0.730769;0.588235;0.730769;193481;14;1.153846;7543.884615;224249;36970;16;0.7;30;7;20;30;30;0.875;0.7;42;0.730769;0.35;0.5;0.4375;0.8;7;1;10183.21053;39;0.35;4;0.8;196141;7;0.730769;0.615385;20;7543.884615;19;3;19;50000;3;0;0.461538;7543.884615;2;30;1.153846;3;3;5297;0.461538;0;0;0;0;0.5;0.088235;6;0.692308;0;0.586563;50000;0.076923;7499.5;0;0;0;7;0.019608;0;0;0;0;0;0
0.615385;0.406863;0.923077;622264;0;0;0;683478;315586;0;0;45;709;0;45;83;0;0;61;0.615385;0;0;0;0;0;0;77783;709;0;69;0;994689;709;0;8;0;0;8;14;8;300000;13;9.5;0;76514.53846;5.75;0;6.384615;14;0;315586;0;994689;0;8;0;0.583333;0.5;0;1;0.307692;0;375000;0.076923;117561.3333;1;0.307692;0.538462;17;0.029412;0;0;0;0;0;1
0.833333;0.438356;0.666667;12799;0;1.5;2100;87850;8599;1;0;32;67;1;9;32;0;0;22;0.666667;0;0;0;1;0;1;3199.75;620;0;6;1;59634;382;1;6.25;1;2100;4;23;5;74006;5;11.5;0.75;9939;3;3;5.333333;23;2;8599;0.5;55434;0;1;0.075766;0.5;0.538462;1;1;0.333333;1;74006;0;40925;0;0;0.166667;29;0.027397;0;0;0;0;0;1
0.666667;0.479167;1;12454;1;0;0;8604;12454;1;1;22;14;1;12;23;1;1;14;0.333333;1;1;1;1;1;1;12454;463;1;22;1;50523;14;0;1;1;0;1;12;2;8604;12;5.5;0;16841;11;0;7.666667;12;0;28330;0;50523;0;2;0;1;0.333333;0;0;0.666667;0;0;0;15886;0;0.333333;0.666667;598;0.208333;0;0;0;0;0;1
1;1;0;0;0;1;0;3000;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;3000;0;0;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0.875;1;1;0;0;3000;1;0;0;0;0;2;0;0;0;0;0;0;1
0.529412;0.610619;0.588235;63837;7;2.25;10587.5;81112;16743;7;1;44;6;7;40;69;1;1;70;0.470588;0.857143;0.857143;0.857143;1;6;1;7979.625;6;0.857143;43;1;212179;6;0.416667;3.083333;7;3108.2;8;11;9;15450;11;5.8;0.333333;12481.11765;8.6;27;4.058824;10;4;49492;0.25;85129;0;4;0.116294;0.6;0.333333;4;0.5;0.058824;0.318512;216948;0.058824;81552;2;0;0;7;0.00885;2;2;4;0;2;1
0.62963;0.450292;0.62963;1725349;10;2.083333;13889.45833;1575000;1590174;12;0.625;69;5;14;18;77;0.833333;0.714286;73;0.444444;0.5;0.8;0.666667;0.75;8;0.875;143779.0833;20;0.571429;15;0.857143;2216364;5;0.583333;3.8125;16;5554.625;12;16;17;1430000;8;4.538462;0.625;82087.55556;5;50;2.851852;16;10;226523;0.375;1883017;0;2;0.033855;0.333333;0.243243;9;0.5;0.074074;0.717308;355696;0;187622.3333;0;0;0;28;0;7;14;9;4;7;0
0.6;0.095238;0.6;57544;3;1;6803;38999;31208;5;0.428571;8;2;7;8;10;0.6;0.428571;16;0.6;0.142857;0.333333;0.2;0.714286;1;1;9590.666667;2;0.142857;4;0.714286;61227;2;0.666667;0.5;7;6803;6;3;6;15000;3;0.666667;0.25;6122.7;2;9;1;3;3;5286;0.25;0;0;0;0;0.5;0;1;0.444444;0.1;0.259003;20000;0;7499.5;0;0;0.2;32;0.009524;1;10;1;0;1;0
0.888889;0.329843;0.666667;33730;3;1.4;6746;50700;14130;3;1;61;33;3;7;63;1;1;10;0.555556;0;0;0;1;0;1;6746;1542;0;14;1;521592;0;1;1.333333;3;6746;5;42;8;15000;7;14;0.666667;57954.66667;4.666667;7;7;42;2;199900;0.666667;487862;0;3;0.069138;0.666667;0.117647;2;1;0.444444;1;72800;0.111111;133670.6667;0;0;0.888889;18;0.005236;0;0;0;0;0;1
0.875;0.933579;0.9375;2141313;5;2.75;48173.75;1633604;630924;5;0.625;209;16;6;164;253;1;0.833333;176;0.8125;0.375;0.6;0.6;0.625;3;0.75;164716.3846;442;0.5;57;0.833333;3392951;16;0.75;22.75;8;15398.33333;13;45;14;575610;21;44.5;0.5;212059.4375;9.5;11;15.8125;45;7;412943;0.25;3200256;0;10;0.014435;0.833333;0.142857;1;0.75;0.125;1;180000;0.0625;106582.3333;2;0;0;15;0.00738;0;0;0;0;0;0
0.181818;0.008945;0.363636;798;1;0.75;1373.75;700;798;2;0.5;3;35;2;1;5;0.5;0.5;1;0.090909;0;0;0;1;0;1;798;35;0;4;1;693278;35;0.25;0.4;2;399;1;2;2;700;2;0.444444;0;63025.27273;0.444444;3;0.454545;2;1;687703;0;687783;0;2;0;0.222222;0;0;0.25;0.636364;0;18886;0.090909;81692.44444;0;0.545455;0.545455;11;0.001789;0;0;2;0;0;0
0.5;0.490909;1;5360;1;0;5050;2000;5360;1;0.333333;23;11;1;6;27;1;1;10;0.25;0.333333;1;1;0.333333;1;0.333333;5360;0;1;0;1;271678;11;0;7;3;0;1;17;2;2000;0;7;0.333333;67919.5;0;0;6.75;17;0;0;0;266628;0;1;0;0;0;0;0;0.5;0;307853;0;0;0;0.5;0.25;307;0.109091;0;0;1;0;0;1
0.625;0.516129;0.75;826801;3;2;124881;749134;773067;4;0.5;15;9;6;15;16;0.75;0.5;20;0.625;0.5;1;0.75;0.666667;3;1;165360.2;21;0.5;9;0.666667;999048;9;0.625;1.6;6;8955.666667;5;6;5;665390;4;1;0.4;124881;1.8;16;2;6;6;30599;0.4;0;0;0;0;0.4;0.307692;2;0.25;0;0;665390;0.125;22748.8;0;0;0;13;0.032258;0;0;1;0;0;1
0.796875;0.651316;0.921875;541969;18;1.423729;10031.66102;489200;49205;23;0.310345;97;15;37;83;99;0.782609;0.486486;114;0.765625;0.137931;0.444444;0.347826;0.396552;8;0.637931;11060.59184;23;0.216216;25;0.621622;676753;15;0.779661;2.666667;58;10371.52941;49;10;51;47293;10;4;0.533333;10574.26563;3.125;84;1.546875;10;9;49205;0.4;84885;0;4;1.570195;0.5;0;7;0.305085;0;0.377975;55000;0.03125;22835;0;0;0;14;0.006579;2;6;3;1;2;0
1;0.857143;1;57168;2;8.5;21505;117725;23300;2;0.666667;24;31;2;24;24;1;1;28;1;0;0;0;0.666667;0;0.666667;19056;31;0;16;1;57168;31;1;8.5;3;0;3;9;3;55067;9;0;1;19056;8;17;8;9;9;19710;1;14158;0;1;0;0.5;0.25;2;0;0;0;55067;0;33862.5;1;0;0;303;0.25;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.833333;0;0;1;0;0;0;26696;0;0;1;2832;0;0;0;0;0;0;1
0.4;0.062678;0.8;18296;4;0.25;2557.75;30000;18296;4;1;20;21;4;12;22;1;1;16;0.1;0.75;0.75;0.75;1;3;1;18296;26;0.75;16;1;166321;21;0.25;0.333333;4;2557.75;1;12;4;30000;12;1.666667;0.333333;16632.1;2.666667;1;2.2;12;1;18296;0;156090;0;3;0.065546;0.333333;0;1;1;0.5;1;21492;0.1;18559.83333;0;0.2;0.3;21;0;1;0;1;0;1;0
1;0.4;1;3696;0;0;0;2200;3696;0;0;2;449;0;1;2;0;0;2;0.5;0;0;0;0;0;0;3696;0;0;0;0;7524;0;0;0;0;0;1;1;2;2200;0;1;0;3762;0;0;1;1;0;0;0;7524;0;2;0;0;0.5;0;0;0.5;0;0;0;0;0;0;0;485;0.2;0;0;0;0;0;1
0.782609;0.670886;0.521739;49120;0;0.75;970;102000;17600;0;0;46;179;1;17;53;0;0;22;0.695652;0;0;0;0;0;0.166667;3070;179;0;21;0;157239;298;0.75;5.333333;6;0;16;15;18;16000;14;12;0.666667;6836.478261;10.5;9;2.304348;15;1;55285;0.333333;145599;0;10;0;1;0.1;1;0.166667;0.130435;0;16663;0;27482.5;0;0;0.043478;49;0.012658;0;0;0;0;0;0
0.5;0.212766;1;1424;1;1;1424;15757;1424;1;1;1;16;1;1;10;1;1;2;0.5;1;1;1;1;1;1;1424;16;1;1;1;11624;16;1;5;1;1424;1;9;1;15757;1;9;0.5;5812;1;1;5;1;1;1424;0.5;10200;1424;0;0.139608;0;0.5;1;1;0.5;1;15757;0;15757;0;0;1.5;48;0;0;0;0;0;0;0
0.793103;0.835391;0.724138;750855;14;1.391304;19800.91304;651092;144679;15;0.777778;203;4;15;115;203;0.933333;0.933333;137;0.758621;0.5;0.642857;0.6;0.833333;9;0.833333;34129.77273;25;0.6;43;1;939725;4;0.73913;5.705882;18;13601.2;22;88;23;131092;43;88;0.705882;32404.31035;21.5;32;7;88;8;144679;0.705882;484304;0;4;0.458976;0;0.368421;10;0.73913;0.034483;0.817148;131092;0.172414;75546;1;0;0.034483;6;0;0;0;0;0;0;0
0.52381;0.423729;0.666667;215191;10;0.85;8611.2;75500;159972;12;0.714286;22;5;12;22;25;0.833333;0.833333;40;0.52381;0.428571;0.6;0.5;0.857143;6;0.857143;19562.81818;0;0.5;0;1;332196;5;0.5;1.1;14;3462.9375;11;8;11;26500;0;3;0.1;15818.85714;0;17;1.190476;8;4;0;0.1;159972;0;0;0.31935;0;0.296296;0;0.75;0;0.922032;60000;0.190476;0;1;0;0;2;0.016949;0;0;2;0;0;0
0.947368;0.653361;0.894737;413925;5;3.125;27502;295973;226009;6;0.555556;278;20;7;85;311;0.833333;0.714286;180;0.473684;0.222222;0.4;0.333333;0.666667;2;0.777778;45991.66667;39;0.285714;80;0.857143;3778883;20;1;16.625;9;33577.66667;9;53;18;99500;36;22.6;0.875;198888.5789;16;25;16.368421;53;7;599600;0.5;3558867;0;7;0.007328;0.6;0.166667;4;0.25;0.421053;0.129451;350000;0;166691.2;2;0.052632;0.368421;25;0.004202;3;0;3;0;3;0
0.866667;0.818182;0.933333;246792;7;1.8125;8448.4375;213535;62961;8;0.5;141;6;9;94;171;0.875;0.777778;109;0.766667;0.357143;0.714286;0.625;0.571429;5;0.642857;10730.08696;7;0.555556;101;0.888889;632092;6;0.8125;7.166667;14;4849.833333;23;33;26;55309;33;15.4;0.5;21069.73333;14.428571;29;5.7;33;4;266289;0.333333;496917;0;13;0.052383;0.714286;0.363636;2;0.4375;0.133333;0.447266;203101;0.066667;74469.42857;2;0;0;8;0.004785;0;0;1;0;0;0
